date,aportes_kwh
2000-01-01,56677300.0
2000-01-02,54645200.0
2000-01-03,57488300.0
2000-01-04,58418200.0
2000-01-05,63039500.0
2000-01-06,59742600.0
2000-01-07,64109400.0
2000-01-08,74864900.0
2000-01-09,80338400.0
2000-01-10,69728600.0
2000-01-11,83660100.0
2000-01-12,59237500.0
2000-01-13,62492400.0
2000-01-14,53097300.0
2000-01-15,58110100.0
2000-01-16,54607300.0
2000-01-17,51330300.0
2000-01-18,65031600.0
2000-01-19,55472500.0
2000-01-20,59487400.0
2000-01-21,105014300.0
2000-01-22,79967600.0
2000-01-23,54711200.0
2000-01-24,47573300.0
2000-01-25,46374800.0
2000-01-26,54561000.0
2000-01-27,53032300.0
2000-01-28,45301200.0
2000-01-29,58131300.0
2000-01-30,61913400.0
2000-01-31,64367400.0
2000-02-01,84066000.0
2000-02-02,95730500.0
2000-02-03,107793500.0
2000-02-04,79403400.0
2000-02-05,58485600.0
2000-02-06,64304600.0
2000-02-07,69439000.0
2000-02-08,51491300.0
2000-02-09,48387900.0
2000-02-10,50945400.0
2000-02-11,46233700.0
2000-02-12,46873200.0
2000-02-13,40007400.0
2000-02-14,40083200.0
2000-02-15,37010800.0
2000-02-16,48387600.0
2000-02-17,77224200.0
2000-02-18,73689200.0
2000-02-19,76569900.0
2000-02-20,71656700.0
2000-02-21,60340000.0
2000-02-22,80314900.0
2000-02-23,72960900.0
2000-02-24,88251800.0
2000-02-25,87285700.0
2000-02-26,133792500.0
2000-02-27,109282500.0
2000-02-28,126848100.0
2000-02-29,110334200.0
2000-03-01,92224800.0
2000-03-02,95121200.0
2000-03-03,144352200.0
2000-03-04,105167300.0
2000-03-05,89604500.0
2000-03-06,93600000.0
2000-03-07,87682100.0
2000-03-08,77871100.0
2000-03-09,67493400.0
2000-03-10,58869000.0
2000-03-11,50957500.0
2000-03-12,69548300.0
2000-03-13,60971200.0
2000-03-14,55202900.0
2000-03-15,53707900.0
2000-03-16,47327900.0
2000-03-17,52721000.0
2000-03-18,45088800.0
2000-03-19,55868500.0
2000-03-20,51861600.0
2000-03-21,46634600.0
2000-03-22,46406200.0
2000-03-23,56396400.0
2000-03-24,83264500.0
2000-03-25,114009300.0
2000-03-26,99821500.0
2000-03-27,111120100.0
2000-03-28,134455400.0
2000-03-29,89173100.0
2000-03-30,82677900.0
2000-03-31,72224200.0
2000-04-01,55123400.0
2000-04-02,63701500.0
2000-04-03,74373600.0
2000-04-04,67563200.0
2000-04-05,79391600.0
2000-04-06,101869100.0
2000-04-07,152621300.0
2000-04-08,101654100.0
2000-04-09,74203900.0
2000-04-10,63095700.0
2000-04-11,65280100.0
2000-04-12,82474600.0
2000-04-13,94982200.0
2000-04-14,109828100.0
2000-04-15,92307100.0
2000-04-16,100406800.0
2000-04-17,90420300.0
2000-04-18,87431100.0
2000-04-19,91119900.0
2000-04-20,77667700.0
2000-04-21,68852900.0
2000-04-22,108195300.0
2000-04-23,81464900.0
2000-04-24,117808600.0
2000-04-25,99190700.0
2000-04-26,79162000.0
2000-04-27,71575900.0
2000-04-28,62904000.0
2000-04-29,90097200.0
2000-04-30,80720400.0
2000-05-01,78211900.0
2000-05-02,79999200.0
2000-05-03,122817600.0
2000-05-04,179839600.0
2000-05-05,131992200.0
2000-05-06,160776400.0
2000-05-07,148397200.0
2000-05-08,143506300.0
2000-05-09,140827900.0
2000-05-10,122300400.0
2000-05-11,107652000.0
2000-05-12,110408200.0
2000-05-13,159455300.0
2000-05-14,150158700.0
2000-05-15,239425500.0
2000-05-16,144199200.0
2000-05-17,146862700.0
2000-05-18,160810900.0
2000-05-19,211134500.0
2000-05-20,182647600.0
2000-05-21,160293000.0
2000-05-22,167324700.0
2000-05-23,210361800.0
2000-05-24,189904700.0
2000-05-25,190469100.0
2000-05-26,184126600.0
2000-05-27,150903500.0
2000-05-28,250722500.0
2000-05-29,170157500.0
2000-05-30,169800200.0
2000-05-31,223883300.0
2000-06-01,165574100.0
2000-06-02,183906800.0
2000-06-03,122060000.0
2000-06-04,176015800.0
2000-06-05,170446000.0
2000-06-06,145977500.0
2000-06-07,137342600.0
2000-06-08,138712900.0
2000-06-09,138635800.0
2000-06-10,120414300.0
2000-06-11,110817700.0
2000-06-12,108555700.0
2000-06-13,111211800.0
2000-06-14,128919500.0
2000-06-15,127387700.0
2000-06-16,228519400.0
2000-06-17,255127700.0
2000-06-18,215591700.0
2000-06-19,192989700.0
2000-06-20,129132900.0
2000-06-21,148588000.0
2000-06-22,197198000.0
2000-06-23,205666400.0
2000-06-24,302907700.0
2000-06-25,267556500.0
2000-06-26,186499000.0
2000-06-27,189054700.0
2000-06-28,183282300.0
2000-06-29,127367000.0
2000-06-30,146289300.0
2000-07-01,149755200.0
2000-07-02,157418400.0
2000-07-03,167676300.0
2000-07-04,181035500.0
2000-07-05,168901700.0
2000-07-06,154147900.0
2000-07-07,170190800.0
2000-07-08,123010700.0
2000-07-09,104075500.0
2000-07-10,93031000.0
2000-07-11,83745300.0
2000-07-12,96642800.0
2000-07-13,200645900.0
2000-07-14,228552400.0
2000-07-15,154633100.0
2000-07-16,147093100.0
2000-07-17,178905100.0
2000-07-18,159085700.0
2000-07-19,126507400.0
2000-07-20,128198700.0
2000-07-21,147457300.0
2000-07-22,114507100.0
2000-07-23,102591200.0
2000-07-24,137911100.0
2000-07-25,147609200.0
2000-07-26,178834500.0
2000-07-27,185641800.0
2000-07-28,148297600.0
2000-07-29,189340100.0
2000-07-30,157923700.0
2000-07-31,124708800.0
2000-08-01,114884800.0
