date,var_dane_pct,ipc_base_2000_01,var_from_ipc_pct
2000-01,1.29,100.0,
2000-02,2.3,102.3,2.3
2000-03,1.71,104.0493,1.71
2000-04,1.0,105.0898,1.0
2000-05,0.52,105.6363,0.52
2000-06,-0.02,105.6152,-0.02
2000-07,-0.04,105.5729,-0.04
2000-08,0.32,105.9108,0.32
2000-09,0.43,106.3662,0.43
2000-10,0.15,106.5257,0.15
2000-11,0.33,106.8773,0.33
2000-12,0.46,107.3689,0.46
2001-01,1.05,108.4963,1.05
2001-02,1.89,110.5468,1.89
2001-03,1.48,112.1829,1.48
2001-04,1.15,113.473,1.15
2001-05,0.42,113.9496,0.42
2001-06,0.04,113.9952,0.04
2001-07,0.11,114.1206,0.11
2001-08,0.26,114.4173,0.26
2001-09,0.37,114.8407,0.37
2001-10,0.19,115.0589,0.19
2001-11,0.12,115.1969,0.12
2001-12,0.34,115.5886,0.34
2002-01,0.8,116.5133,0.8
2002-02,1.26,117.9814,1.26
2002-03,0.71,118.819,0.71
2002-04,0.92,119.9122,0.92
2002-05,0.6,120.6316,0.6
2002-06,0.43,121.1504,0.43
2002-07,0.02,121.1746,0.02
2002-08,0.09,121.2836,0.09
2002-09,0.36,121.7203,0.36
2002-10,0.56,122.4019,0.56
2002-11,0.78,123.3566,0.78
2002-12,0.27,123.6897,0.27
2003-01,1.17,125.1369,1.17
2003-02,1.11,126.5259,1.11
2003-03,1.05,127.8544,1.05
2003-04,1.15,129.3247,1.15
2003-05,0.49,129.9584,0.49
2003-06,-0.05,129.8934,-0.05
2003-07,-0.14,129.7116,-0.14
2003-08,0.31,130.1137,0.31
2003-09,0.22,130.4,0.22
2003-10,0.06,130.4782,0.06
2003-11,0.35,130.9349,0.35
2003-12,0.61,131.7336,0.61
2004-01,0.89,132.906,0.89
2004-02,1.2,134.5009,1.2
2004-03,0.98,135.819,0.98
2004-04,0.46,136.4437,0.46
2004-05,0.38,136.9622,0.38
2004-06,0.6,137.784,0.6
2004-07,-0.03,137.7427,-0.03
2004-08,0.03,137.784,0.03
2004-09,0.3,138.1973,0.3
2004-10,-0.01,138.1835,-0.01
2004-11,0.28,138.5704,0.28
2004-12,0.3,138.9862,0.3
2005-01,0.82,140.1258,0.82
2005-02,1.02,141.5551,1.02
2005-03,0.77,142.6451,0.77
2005-04,0.44,143.2727,0.44
2005-05,0.41,143.8602,0.41
2005-06,0.4,144.4356,0.4
2005-07,0.05,144.5078,0.05
2005-08,0.0,144.5078,0.0
2005-09,0.43,145.1292,0.43
2005-10,0.23,145.463,0.23
2005-11,0.11,145.623,0.11
2005-12,0.07,145.7249,0.07
2006-01,0.54,146.5119,0.54
2006-02,0.66,147.4788,0.66
2006-03,0.7,148.5112,0.7
2006-04,0.45,149.1795,0.45
2006-05,0.33,149.6718,0.33
2006-06,0.3,150.1208,0.3
2006-07,0.41,150.7363,0.41
2006-08,0.39,151.3242,0.39
2006-09,0.29,151.763,0.29
2006-10,-0.14,151.5505,-0.14
2006-11,0.24,151.9142,0.24
2006-12,0.23,152.2637,0.23
2007-01,0.77,153.4361,0.77
2007-02,1.17,155.2313,1.17
2007-03,1.21,157.1096,1.21
2007-04,0.9,158.5236,0.9
2007-05,0.3,158.9991,0.3
2007-06,0.12,159.1899,0.12
2007-07,0.17,159.4606,0.17
2007-08,-0.13,159.2533,-0.13
2007-09,0.08,159.3807,0.08
2007-10,0.01,159.3966,0.01
2007-11,0.47,160.1458,0.47
2007-12,0.49,160.9305,0.49
2008-01,1.06,162.6363,1.06
2008-02,1.51,165.0922,1.51
2008-03,0.81,166.4294,0.81
2008-04,0.71,167.611,0.71
2008-05,0.93,169.1698,0.93
2008-06,0.86,170.6247,0.86
2008-07,0.48,171.4437,0.48
2008-08,0.19,171.7694,0.19
2008-09,-0.19,171.4431,-0.19
2008-10,0.35,172.0431,0.35
2008-11,0.28,172.5248,0.28
2008-12,0.44,173.284,0.44
2009-01,0.59,174.3063,0.59
2009-02,0.84,175.7705,0.84
2009-03,0.5,176.6494,0.5
2009-04,0.32,177.2146,0.32
2009-05,0.01,177.2324,0.01
2009-06,-0.06,177.126,-0.06
2009-07,-0.04,177.0552,-0.04
2009-08,0.04,177.126,0.04
2009-09,-0.11,176.9311,-0.11
2009-10,-0.13,176.7011,-0.13
2009-11,-0.07,176.5774,-0.07
2009-12,0.08,176.7187,0.08
2010-01,0.69,177.9381,0.69
2010-02,0.83,179.415,0.83
2010-03,0.25,179.8635,0.25
2010-04,0.46,180.6909,0.46
2010-05,0.1,180.8716,0.1
2010-06,0.11,181.0705,0.11
2010-07,-0.04,180.9981,-0.04
