Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,4483001.17000,4109430.01000,3753130.53000,3421922.61000,3241061.29000,3132112.61000,2887251.16000,2923049.41000,3120358.94000,3288158.94000,3400643.17000,3453567.94000,3412788.60000,3270303.82000,3133373.96000,3033496.72000,3055630.40000,3393312.55000,4924793.96000,5229089.73000,4917026.76000,4304539.52000,3742310.28000,3237082.17000,2000-01-01
Sistema,Sistema,2954585.95000,2822935.89000,2751231.27000,2725470.15000,2776863.27000,2898365.12000,2943704.23000,3229330.86000,3557856.12000,3751000.70000,3800138.67000,3823923.62000,3817499.90000,3649726.56000,3432353.56000,3320531.69000,3325184.79000,3702350.39000,5296405.28000,5650344.68000,5369540.26000,4790998.32000,4039615.85000,3414110.97000,2000-01-02
Sistema,Sistema,3082528.74000,2944766.18000,2894529.84000,2911793.53000,3104770.51000,3438675.48000,3741076.49000,4133454.02000,4528882.26000,4680235.73000,4848250.10000,4971840.32000,4799257.81000,4566899.99000,4469477.25000,4411518.25000,4475826.47000,4842988.87000,6282463.69000,6495283.23000,5985329.80000,5269868.07000,4281159.41000,3623963.43000,2000-01-03
Sistema,Sistema,3284736.27000,3169090.40000,3097285.82000,3126621.01000,3332846.01000,3729334.66000,4045198.02000,4382135.56000,4709932.26000,4857119.19000,4977495.17000,5095385.56000,4916489.17000,4598452.73000,4525090.65000,4515977.67000,4562721.90000,4921821.07000,6283636.90000,6477771.68000,6003863.19000,5308599.40000,4266828.35000,3596725.17000,2000-01-04
Sistema,Sistema,3290760.94000,3177525.28000,3109662.62000,3141292.08000,3333102.91000,3685520.63000,4043065.65000,4373360.09000,4653299.16000,4783850.78000,4937745.18000,5039058.39000,4859444.34000,4572281.57000,4489037.51000,4456990.84000,4505141.37000,4817117.56000,6251910.30000,6479140.84000,5936806.56000,5257896.60000,4271027.41000,3565837.02000,2000-01-05
Sistema,Sistema,3231030.34000,3141805.72000,3108794.00000,3142175.67000,3323996.84000,3690212.60000,4097598.74000,4445319.78000,4747351.42000,4882043.92000,5034217.94000,5152404.46000,4966287.22000,4662100.75000,4559652.17000,4529116.56000,4594212.79000,4936635.22000,6140654.48000,6329263.27000,5890960.46000,5257954.63000,4257098.51000,3639436.13000,2000-01-06
Sistema,Sistema,3328367.88000,3195822.89000,3154225.90000,3176937.20000,3349464.37000,3669322.93000,4034665.98000,4420472.18000,4725589.70000,4858588.71000,5038706.93000,5183109.42000,5000681.04000,4651226.82000,4631151.45000,4618780.73000,4667266.44000,4987790.77000,6227064.86000,6345575.69000,5825870.20000,5164379.83000,4277400.53000,3659826.26000,2000-01-07
Sistema,Sistema,3327390.57000,3199477.61000,3151337.25000,3156975.48000,3276999.66000,3519222.50000,3801064.34000,4142780.41000,4480575.35000,4634680.16000,4762682.36000,4843198.20000,4708879.47000,4418017.11000,4184971.55000,4075156.89000,4108857.50000,4361147.42000,5677202.60000,5934163.81000,5564585.86000,4987461.03000,4267390.77000,3669303.74000,2000-01-08
Sistema,Sistema,3271254.42000,3089162.15000,2997198.29000,2964682.33000,2997031.64000,3127906.75000,3178652.46000,3459215.76000,3776899.41000,3876856.48000,3908332.56000,3985541.02000,3950710.32000,3739774.97000,3516233.16000,3369011.70000,3377026.04000,3684437.10000,5089785.16000,5463712.06000,5046199.99000,4617891.55000,3904344.75000,3391277.05000,2000-01-09
Sistema,Sistema,3019767.23000,2883962.59000,2820180.99000,2789190.26000,2868815.67000,3050259.04000,3136732.49000,3429267.87000,3784602.14000,3990856.06000,4130087.05000,4184329.85000,4103877.30000,3899370.53000,3658557.28000,3581169.59000,3630156.73000,4108849.65000,5542168.32000,5780339.40000,5388041.17000,4699650.06000,3899038.07000,3363786.45000,2000-01-10
Sistema,Sistema,3071127.67000,2963979.39000,2921192.45000,2953537.95000,3166723.13000,3617454.74000,4111504.88000,4466446.92000,4826261.83000,4991176.69000,5171024.18000,5273734.71000,5057783.66000,4818459.97000,4763730.92000,4698273.75000,4738779.90000,4992860.21000,6317318.81000,6417066.24000,6002312.86000,5270415.66000,4286689.31000,3613042.54000,2000-01-11
Sistema,Sistema,3310079.87000,3195763.35000,3151505.90000,3175913.46000,3418293.50000,3869792.79000,4348673.02000,4694858.89000,5003484.39000,5131655.29000,5224787.71000,5370591.43000,5113185.35000,4851839.95000,4807429.73000,4766755.23000,4865639.36000,5053859.16000,6325794.40000,6522625.48000,6044451.84000,5335537.70000,4329893.52000,3629833.56000,2000-01-12
Sistema,Sistema,3281057.15000,3189590.04000,3148881.92000,3162487.86000,3415307.60000,3887682.33000,4366814.52000,4711554.80000,5027728.84000,5149694.05000,5328775.51000,5432731.14000,5155140.41000,4868915.52000,4811182.24000,4739161.63000,4715365.58000,4912449.47000,6245557.89000,6563945.48000,6052190.59000,5369005.08000,4407329.82000,3697301.93000,2000-01-13
Sistema,Sistema,3358395.64000,3243428.52000,3175148.10000,3194998.58000,3425354.34000,3892262.69000,4331128.47000,4702224.66000,5015110.49000,5133055.19000,5324293.45000,5421440.65000,5148286.75000,4902903.73000,4845483.60000,4778311.63000,4851571.16000,5031754.00000,6302743.84000,6475096.93000,6010941.09000,5340907.98000,4462794.58000,3793523.90000,2000-01-14
Sistema,Sistema,3446407.52000,3274076.31000,3183954.93000,3214053.26000,3365570.56000,3653666.78000,3944968.88000,4358026.74000,4735651.71000,4868124.98000,4987392.80000,5055140.50000,4928719.12000,4558553.46000,4311453.99000,4198939.25000,4311014.28000,4643459.05000,5868106.83000,6129302.74000,5741715.33000,5126845.78000,4313919.63000,3690955.67000,2000-01-15
Sistema,Sistema,3271291.86000,3126031.28000,3018910.67000,2978658.08000,3034278.72000,3149966.59000,3217537.17000,3535952.47000,3892065.65000,4065539.97000,4117948.19000,4156897.75000,4113613.84000,3909956.38000,3665390.48000,3551065.77000,3579221.93000,3857018.39000,5277341.27000,5687448.51000,5397424.78000,4785417.03000,3977663.32000,3367044.19000,2000-01-16
Sistema,Sistema,3044258.24000,2903160.44000,2517180.53000,2628175.20000,2903070.57000,3465463.03000,4111510.76000,4201657.72000,4380950.96000,4513423.39000,4669125.62000,4906535.12000,4892934.79000,4699958.21000,4599130.78000,4655879.31000,4763138.51000,4992515.55000,6076025.48000,6227817.64000,5889491.29000,5288150.71000,4382833.15000,3656008.32000,2000-01-17
Sistema,Sistema,3327951.88000,3217436.79000,3186048.68000,3212515.20000,3447469.49000,4000117.32000,4452530.38000,4605913.41000,4771661.03000,4837095.87000,4973813.15000,5054077.44000,4820763.54000,4601047.13000,4595108.28000,4672234.23000,4747897.86000,4900078.88000,6025227.00000,6252058.69000,5863941.55000,5308761.80000,4431056.45000,3665591.71000,2000-01-18
Sistema,Sistema,3320247.49000,3215425.85000,3165862.72000,3229724.17000,3510445.69000,4068761.98000,4497803.97000,4678771.92000,4837843.97000,4933764.19000,5037447.29000,5055074.02000,4866152.12000,4707010.46000,4716296.60000,4738744.81000,4765719.84000,4956069.14000,6127089.64000,6416266.00000,6082594.16000,5438341.55000,4400448.33000,3671424.67000,2000-01-19
Sistema,Sistema,3366171.38000,3242082.41000,3225558.08000,3287093.22000,3543563.22000,4154949.68000,4602912.72000,4904293.48000,5087444.07000,5157720.52000,5336734.93000,5418090.87000,5173938.59000,4885233.19000,4832266.18000,4848588.48000,4866126.53000,5134384.44000,6233010.21000,6477560.15000,6013733.95000,5409492.40000,4559948.47000,3823579.28000,2000-01-20
Sistema,Sistema,3433597.95000,3269732.46000,3194818.31000,3249877.85000,3481247.18000,4069498.99000,4605950.99000,4900268.74000,5083197.35000,5197931.07000,5347036.16000,5423137.95000,5159829.58000,4906291.57000,4795429.84000,4834186.95000,4824974.93000,4990256.07000,6172536.15000,6495390.88000,6005075.76000,5366076.96000,4402132.55000,3735987.25000,2000-01-21
Sistema,Sistema,3404453.02000,3294470.73000,3204999.88000,3209947.72000,3379363.20000,3692740.13000,4001592.88000,4387211.00000,4772376.18000,4854166.66000,4936160.08000,5044398.44000,4879995.69000,4584053.16000,4325600.33000,4242535.76000,4211043.88000,4415210.01000,5725384.61000,6146347.88000,5835195.21000,5251430.10000,4479389.23000,3840882.37000,2000-01-22
Sistema,Sistema,3403442.09000,3225684.07000,3127501.52000,3081844.47000,3128807.91000,3241705.60000,3280711.57000,3558563.68000,3876276.75000,4039532.49000,4090640.04000,4156001.31000,4138195.28000,3910548.78000,3711743.34000,3568757.63000,3562636.95000,3792175.78000,5228955.01000,5673621.13000,5267014.45000,4845024.25000,4034951.47000,3414942.50000,2000-01-23
Sistema,Sistema,3135177.01000,3021068.22000,2977938.17000,3016500.91000,3305128.72000,3956255.95000,4517296.24000,4728318.58000,4994077.24000,5112484.42000,5319920.62000,5430906.30000,5173307.77000,4893866.37000,4892505.72000,4875948.46000,4935242.85000,5204582.98000,6366518.04000,6695421.71000,6211186.04000,5473564.66000,4458710.20000,3723931.89000,2000-01-24
Sistema,Sistema,3411211.03000,3281242.60000,3224721.85000,3261621.83000,3549908.36000,4163679.84000,4664282.18000,4853741.79000,5061895.02000,5228655.10000,5357746.44000,5456855.81000,5169576.36000,4963730.41000,4939710.60000,4915252.77000,4966805.52000,5261153.04000,6399436.17000,6627887.61000,6158962.18000,5443545.56000,4458783.63000,3689063.97000,2000-01-25
Sistema,Sistema,3376956.76000,3283553.25000,3258545.35000,3301856.68000,3583804.42000,4226103.98000,4798297.18000,4990701.80000,5189053.06000,5271623.50000,5397570.49000,5535487.89000,5246385.24000,4955142.21000,4980459.50000,5058624.54000,5075765.36000,5299290.96000,6337409.93000,6514860.43000,6062495.32000,5380293.40000,4403612.57000,3662893.58000,2000-01-26
Sistema,Sistema,3348466.18000,3224191.76000,3196617.59000,3242791.66000,3528674.63000,4173785.81000,4786900.52000,4947399.75000,5138078.12000,5202642.36000,5354278.86000,5440924.99000,5158838.37000,4896722.99000,4855596.94000,4880043.24000,4934236.80000,5071844.83000,6274786.43000,6583661.42000,6152316.02000,5450246.72000,4481402.10000,3751124.71000,2000-01-27
Sistema,Sistema,3394460.48000,3280711.56000,3252310.55000,3272270.87000,3540346.48000,4160446.67000,4742696.31000,4959121.73000,5207653.06000,5292661.34000,5370730.54000,5495294.76000,5220998.70000,4957548.20000,4885532.72000,4865148.32000,4891710.87000,5043731.08000,6233415.98000,6543747.15000,6087693.69000,5435019.87000,4559155.17000,3838729.84000,2000-01-28
Sistema,Sistema,3501500.12000,3369870.31000,3320036.50000,3306471.69000,3450477.28000,3724725.58000,4081998.97000,4499046.59000,4849420.17000,4973257.57000,5079967.61000,5158636.09000,5041097.06000,4712031.59000,4445070.12000,4346664.13000,4357152.67000,4613477.45000,5872296.26000,6234255.16000,5870997.43000,5214138.66000,4432818.34000,3760730.89000,2000-01-29
Sistema,Sistema,3328072.44000,3146844.03000,3051811.27000,3028578.40000,3090604.41000,3239033.72000,3365940.37000,3690318.62000,4085197.43000,4234117.95000,4275082.25000,4313701.97000,4301830.00000,4093911.48000,3891856.82000,3794417.65000,3794429.01000,4020404.15000,5277796.36000,5785288.07000,5496056.10000,4891788.34000,4043778.73000,3442666.27000,2000-01-30
Sistema,Sistema,3135872.57000,3047947.86000,3015599.40000,3042975.21000,3363425.01000,4077632.64000,4650467.64000,4826423.11000,4999606.78000,5104890.67000,5316680.22000,5434041.11000,5160431.81000,4920423.74000,4871560.69000,4863542.67000,4905618.69000,5065881.29000,6277325.06000,6610142.62000,6152829.95000,5435139.52000,4436187.50000,3662113.93000,2000-01-31
Sistema,Sistema,3371524.84000,3245703.78000,3187923.86000,3240255.08000,3553119.77000,4279872.64000,4816840.28000,4894652.75000,5072767.39000,5138058.97000,5318158.71000,5402611.66000,5077576.00000,4846108.56000,4816915.47000,4796695.83000,4852345.58000,4986213.32000,6179115.96000,6600579.82000,6110239.66000,5380115.79000,4330163.95000,3576987.40000,2000-02-01
