Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,150.00000,128.50000,128.50000,125.00000,125.00000,128.50000,128.50000,128.50000,128.50000,128.50000,128.50000,128.50000,128.50000,128.50000,128.50000,128.50000,128.50000,128.50000,150.00000,170.00000,150.00000,150.00000,128.50000,128.50000,2009-08-01
Sistema,Sistema,125.83200,120.00000,120.00000,120.00000,104.10000,125.83200,104.10000,120.00000,120.00000,125.83200,125.83200,127.00000,127.00000,127.00000,125.83200,125.83200,125.83200,125.83200,127.00000,150.00000,150.00000,127.00000,127.00000,125.83200,2009-08-02
Sistema,Sistema,120.00000,120.00000,115.00000,115.00000,120.00000,127.00000,127.00000,127.00000,128.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,128.00000,128.00000,130.00000,170.00000,130.00000,128.00000,127.00000,125.83200,2009-08-03
Sistema,Sistema,130.10400,130.00000,130.00000,130.00000,130.00000,137.00000,137.00000,137.00000,137.00000,145.00000,145.00000,150.00000,145.00000,150.00000,150.00000,150.00000,145.00000,145.00000,170.00000,210.00000,170.00000,150.00000,137.00000,137.00000,2009-08-04
Sistema,Sistema,130.10400,126.00000,126.00000,126.00000,130.10400,133.00000,133.00000,133.00000,150.00000,155.00000,155.00000,155.00000,155.00000,155.00000,155.00000,155.00000,155.00000,150.00000,155.00000,155.00000,155.00000,155.00000,150.00000,133.00000,2009-08-05
Sistema,Sistema,126.00000,126.00000,126.00000,110.00000,126.00000,126.00000,126.00000,129.11400,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,150.00000,133.00000,133.00000,129.11400,126.00000,2009-08-06
Sistema,Sistema,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,150.00000,150.00000,150.00000,150.00000,130.00000,130.00000,130.00000,130.00000,130.00000,150.00000,165.00000,150.00000,150.00000,130.00000,130.00000,2009-08-07
Sistema,Sistema,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,137.00000,137.00000,137.00000,137.00000,137.00000,137.00000,137.00000,137.00000,137.00000,137.00000,137.00000,149.00000,137.00000,137.00000,137.00000,130.00000,2009-08-08
Sistema,Sistema,125.89600,124.00000,124.00000,100.00000,100.00000,100.00000,95.00000,100.00000,124.00000,125.89600,130.00000,130.00000,130.00000,130.00000,125.89600,125.89600,125.89600,124.00000,130.00000,137.00000,130.00000,130.00000,125.89600,124.00000,2009-08-09
Sistema,Sistema,95.00000,95.00000,32.30300,32.30300,95.00000,100.00000,100.00000,133.00000,133.00000,133.00000,133.00000,136.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,137.00000,137.00000,137.00000,136.00000,133.00000,100.00000,2009-08-10
Sistema,Sistema,122.17100,99.98000,95.00000,95.00000,99.98000,126.00000,126.00000,126.00000,126.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,133.00000,136.00000,133.00000,133.00000,126.00000,122.17100,2009-08-11
Sistema,Sistema,122.00000,118.83500,118.83500,118.83500,118.83500,122.00000,122.00000,130.00000,130.00000,130.00000,136.00000,136.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,148.00000,205.00000,148.00000,130.00000,130.00000,122.00000,2009-08-12
Sistema,Sistema,118.83500,117.24400,100.00000,98.49000,117.24400,122.00000,122.00000,122.00000,122.00000,122.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,130.00000,136.00000,130.00000,130.00000,122.00000,120.00000,2009-08-13
Sistema,Sistema,119.00000,119.00000,119.00000,119.00000,119.00000,120.00000,120.00000,120.00000,121.00000,125.00000,125.00000,125.00000,125.00000,125.00000,125.00000,125.00000,125.00000,125.00000,125.00000,129.00000,125.00000,125.00000,121.00000,120.00000,2009-08-14
Sistema,Sistema,117.24400,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,117.24400,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,118.83500,118.83500,120.00000,120.00000,120.00000,120.00000,120.00000,118.83500,2009-08-15
Sistema,Sistema,119.00000,118.85900,118.85900,118.85900,118.85900,118.85900,117.24400,118.85900,119.00000,119.00000,119.00000,119.00000,119.00000,119.00000,119.00000,119.00000,119.00000,119.00000,119.00000,120.00000,120.00000,119.00000,119.00000,119.00000,2009-08-16
Sistema,Sistema,112.00000,111.00000,111.00000,111.00000,111.00000,111.00000,111.00000,112.00000,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,120.00000,115.00000,115.00000,115.00000,115.00000,2009-08-17
Sistema,Sistema,114.50000,114.50000,114.19600,114.19600,114.19600,114.50000,114.50000,114.99900,118.00000,118.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,114.99900,114.50000,2009-08-18
Sistema,Sistema,112.90000,112.90000,112.90000,112.90000,112.90000,112.90000,114.99900,114.99900,114.99900,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,115.00000,116.00000,116.00000,116.00000,115.00000,114.99900,114.19600,2009-08-19
Sistema,Sistema,114.90000,114.90000,114.90000,114.90000,114.90000,114.90000,115.00000,115.00000,115.00000,115.00000,118.00000,118.00000,118.00000,115.00000,118.00000,118.00000,118.00000,115.00000,119.99900,130.00000,119.99900,118.00000,115.00000,114.90000,2009-08-20
Sistema,Sistema,116.99900,116.99900,116.00000,116.00000,116.00000,118.80000,118.80000,118.80000,130.00000,130.00000,155.00000,155.00000,155.00000,130.00000,130.00000,155.00000,130.00000,129.39100,155.00000,205.00000,130.00000,118.80000,118.80000,116.99900,2009-08-21
